country,region,region_regime,regime_binary,predictor,outcome,outcome_label,corr,p_value,sig,n_pairwise,n_eff
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.00999576003332337,0.7486561351741837,,1368,1029.9572854930975
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,0.05592712656573515,0.07151806286001243,,1381,1039.235913747359
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.11366671994699329,0.000236847264296086,***,1384,1041.6582243221508
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.25909238986287025,2.571814898101766e-17,***,1373,1033.5829434759466
Croatia,Eastern Europe,Eastern Europe democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.45282192885570594,1.8186016268632382e-52,***,1348,1015.0893662127936
Hungary,Eastern Europe,Eastern Europe non-democracies,Non-democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,0.1937992678681966,6.184878815165561e-08,***,1023,767.9983524292716
Hungary,Eastern Europe,Eastern Europe non-democracies,Non-democracy,democracy_rights_liberal,civic_membership,Civic national membership,0.30475413258775735,5.713598121859677e-18,***,1023,767.9983524292716
Hungary,Eastern Europe,Eastern Europe non-democracies,Non-democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,0.0649065626995011,0.07235848685992151,,1022,767.2732743317858
Hungary,Eastern Europe,Eastern Europe non-democracies,Non-democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,0.2624590534242858,1.6968459510553593e-13,***,1018,763.6864848175691
Hungary,Eastern Europe,Eastern Europe non-democracies,Non-democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,0.1310591117860463,0.0002707215319891457,***,1023,767.9983524292716
Hungary,Eastern Europe,Eastern Europe non-democracies,Non-democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,0.26423466740085355,9.809682526909217e-14,***,1023,767.9983524292716
Hungary,Eastern Europe,Eastern Europe non-democracies,Non-democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",0.12861656102969807,0.0003524181008665559,***,1023,767.9983524292716
